"Estimator","mean_estimate","mean_bias","sd_estimate","var_estimate","n","target_r2","achieved_r2_raw","ss","relative_efficiency"
"unadj",50.2331200322821,0.233120032282132,6.56192646731485,43.0588789624472,200,0.6,0.599999999999999,30.008771668175,0.556867502351425
"lm",50.2355595480705,0.235559548070549,4.89674283395302,23.9780903818703,200,0.6,0.599999999999999,30.008771668175,1
"lm_interact",50.225536666142,0.225536666141952,4.86626807420462,23.6805649700231,200,0.6,0.599999999999999,30.008771668175,1.01256411796863
"rf",50.3106720425859,0.310672042585921,4.88332772510672,23.846889670796,200,0.6,0.599999999999999,30.008771668175,1.00550179553332
"bart",50.2201055646059,0.220105564605886,4.83787330273652,23.4050180933307,200,0.6,0.599999999999999,30.008771668175,1.02448501796727
"super",48.9907452367974,-1.00925476320256,4.91984956487013,24.2049197409528,200,0.6,0.599999999999999,30.008771668175,0.990628791108992
"xgboost",50.2508405673676,0.250840567367642,5.15366792128949,26.5602930429283,200,0.6,0.599999999999999,30.008771668175,0.902779586923813
"correct_model",50.1071210455278,0.107121045527812,4.29021922648474,18.4059810112993,200,0.6,0.599999999999999,30.008771668175,1.30273362594204
