"n","target_r2","achieved_r2_raw","ss","setting","Estimator","Procedure","ModelSpec","mean_estimate","mean_bias","mean_n_obs","mc_sd_estimate","mc_var_estimate","mc_se_estimate","sd_estimate","var_estimate","mean_bootstrap_se","sd_bootstrap_se","mean_bootstrap_bias","mean_eif_se","mean_eif_var","coverage_95","coverage_95_mc_mean","coverage_95_bc","reject_h0_effect_prob","reject_h0_null_prob","mean_ci_lower","mean_ci_upper","mean_bc_ci_lower","mean_bc_ci_upper","mean_bootstrap_time_sec","mean_replicate_time_sec","std_bias"
1000,0.2,0.199999999999999,76.8812679205191,"setting_one","bart","tmle","m1",61.2668028770282,11.2668028770282,512,NA,NA,NA,NA,NA,NA,NA,NA,12.6842332462596,160889.773045518,1,1,NA,0,1,36.4061625428537,86.1274432112026,NA,NA,NA,2.99798798561096,NA
1000,0.2,0.199999999999999,76.8812679205191,"setting_one","correct_model","tmle","m1",50.9559407456345,0.955940745634479,512,NA,NA,NA,NA,NA,NA,NA,NA,7.8069724459653,60948.8187720613,1,1,NA,0,1,35.6545559232459,66.257325568023,NA,NA,NA,0.0255439281463623,NA
1000,0.2,0.199999999999999,76.8812679205191,"setting_one","lm_interact","tmle","m1",51.6024018187698,1.60240181876982,512,NA,NA,NA,NA,NA,NA,NA,NA,10.5296435073877,110873.392392671,1,1,NA,0,1,30.964679774244,72.2401238632957,NA,NA,NA,0.0217700004577637,NA
1000,0.2,0.199999999999999,76.8812679205191,"setting_one","lm","tmle","m1",63.7346190342801,13.7346190342801,512,NA,NA,NA,NA,NA,NA,NA,NA,12.0450586497621,145083.43787621,1,1,NA,0,1,40.1267378890737,87.3425001794865,NA,NA,NA,0.0536689758300781,NA
1000,0.2,0.199999999999999,76.8812679205191,"setting_one","rf","tmle","m1",59.92625104073,9.92625104073002,512,NA,NA,NA,NA,NA,NA,NA,NA,11.9213481291454,142118.541216279,1,1,NA,0,1,36.5608380604411,83.291664021019,NA,NA,NA,0.233398914337158,NA
1000,0.2,0.199999999999999,76.8812679205191,"setting_one","bart","tmle","m1",38.5658445340772,-11.4341554659228,512,NA,NA,NA,NA,NA,NA,NA,NA,12.443225817884,154833.868754854,1,1,NA,0,1,14.1775700795257,62.9541189886287,NA,NA,NA,3.06394696235657,NA
1000,0.2,0.199999999999999,76.8812679205191,"setting_one","correct_model","tmle","m1",52.269307360016,2.26930736001605,512,NA,NA,NA,NA,NA,NA,NA,NA,7.93164363293629,62910.9707198988,1,1,NA,0,1,36.7235715012545,67.8150432187776,NA,NA,NA,0.0258300304412842,NA
1000,0.2,0.199999999999999,76.8812679205191,"setting_one","lm_interact","tmle","m1",57.0895358702189,7.08953587021894,512,NA,NA,NA,NA,NA,NA,NA,NA,14.3488857029533,205890.520916417,1,1,NA,0,1,28.9662366741488,85.212835066289,NA,NA,NA,0.0215320587158203,NA
1000,0.2,0.199999999999999,76.8812679205191,"setting_one","lm","tmle","m1",57.4355334892132,7.43553348921319,512,NA,NA,NA,NA,NA,NA,NA,NA,10.2652797046144,105375.967413969,1,1,NA,0,1,37.315954976939,77.5551120014874,NA,NA,NA,0.0261111259460449,NA
1000,0.2,0.199999999999999,76.8812679205191,"setting_one","rf","tmle","m1",62.6398714920938,12.6398714920938,512,NA,NA,NA,NA,NA,NA,NA,NA,13.088046258832,171296.954873326,1,1,NA,0,1,36.9877721967889,88.2919707873987,NA,NA,NA,0.235001087188721,NA
1000,0.2,0.199999999999999,76.8812679205191,"setting_one","super","tmle","m1",62.7273909116567,12.7273909116567,512,NA,NA,NA,NA,NA,NA,NA,NA,9.70332132771132,94154.4447888173,1,1,NA,0,1,43.7092305789231,81.7455512443903,NA,NA,NA,3.33484411239624,NA
1000,0.2,0.199999999999999,76.8812679205191,"setting_one","xgboost","tmle","m1",56.0435511874586,6.04355118745858,512,NA,NA,NA,NA,NA,NA,NA,NA,11.2680830159223,126969.694853717,1,1,NA,0,1,33.9585143014434,78.1285880734738,NA,NA,NA,0.506818056106567,NA
1000,0.2,0.199999999999999,76.8812679205191,"setting_one","super","tmle","m1",53.5238581913818,3.5238581913818,512,NA,NA,NA,NA,NA,NA,NA,NA,9.34563354959698,87340.8664433526,1,1,NA,0,1,35.2067530214625,71.8409633613011,NA,NA,NA,3.30682492256165,NA
1000,0.2,0.199999999999999,76.8812679205191,"setting_one","unadj","tmle","m1",53.8722625559338,3.87226255593379,512,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.000208139419555664,NA
1000,0.2,0.199999999999999,76.8812679205191,"setting_one","xgboost","tmle","m1",45.3260303527733,-4.67396964722668,512,NA,NA,NA,NA,NA,NA,NA,NA,10.8722694299585,118206.242557609,1,1,NA,0,1,24.0167738398389,66.6352868657077,NA,NA,NA,0.507905006408691,NA
