"Estimator","mean_estimate","mean_bias","sd_estimate","var_estimate","n","target_r2","achieved_r2_raw","ss","relative_efficiency"
"unadj",50.035278792139,0.0352787921390502,1.19202199585552,1.42091643860339,10000,0.4,0.4,47.0989340742241,0.701214223982351
"lm",50.0213623701313,0.0213623701313318,0.998181755913741,0.99636681783904,10000,0.4,0.4,47.0989340742241,1
"lm_interact",50.0213567415122,0.0213567415122469,0.998255150454992,0.996513345409919,10000,0.4,0.4,47.0989340742241,0.99985295975056
"rf",49.659080296881,-0.340919703118996,0.961759430703693,0.924981202547491,10000,0.4,0.4,47.0989340742241,1.07717520647441
"bart",50.0328209969131,0.0328209969130932,0.960403457045406,0.922374800304768,10000,0.4,0.4,47.0989340742241,1.08021903624191
"super",49.9877649084799,-0.0122350915201019,0.957910600509639,0.917592718568738,10000,0.4,0.4,47.0989340742241,1.08584865341257
"xgboost",49.8115730312709,-0.188426968729076,0.978409763393443,0.957285665103612,10000,0.4,0.4,47.0989340742241,1.04082496391628
"correct_model",50.0348403316321,0.0348403316321075,0.952484491593526,0.907226706726178,10000,0.4,0.4,47.0989340742241,1.09825560739336
