"Estimator","mean_estimate","mean_bias","sd_estimate","var_estimate","n","target_r2","achieved_r2_raw","ss","relative_efficiency"
"unadj",50.1580776679372,0.158077667937225,8.73623539675127,76.3218089074499,200,0.4,0.400000000000003,49.0279906733192,0.730231619622574
"lm",50.3168708361837,0.316870836183706,7.4654268552449,55.7325981310117,200,0.4,0.400000000000003,49.0279906733192,1
"lm_interact",50.3194351971282,0.319435197128218,7.48197849945389,55.9800022662903,200,0.4,0.400000000000003,49.0279906733192,0.995580490795594
"rf",39.8194950655635,-10.1805049344365,8.29190517433632,68.7556914201855,200,0.4,0.400000000000003,49.0279906733192,0.810588868787808
"bart",49.4113812175632,-0.588618782436832,7.34327225376543,53.9236473929212,200,0.4,0.400000000000003,49.0279906733192,1.03354652041449
"super",48.2528561720648,-1.74714382793516,7.83456953033978,61.3804797257285,200,0.4,0.400000000000003,49.0279906733192,0.907985704576542
"xgboost",46.176120335145,-3.823879664855,8.34095332668988,69.571502398019,200,0.4,0.400000000000003,49.0279906733192,0.801083722645016
"correct_model",50.234368738815,0.234368738814995,7.06901359568527,49.9709532159832,200,0.4,0.400000000000003,49.0279906733192,1.11529988011487
