"Estimator","mean_estimate","mean_bias","sd_estimate","var_estimate","n","target_r2","achieved_r2_raw","ss","relative_efficiency"
"unadj",50.1359700955496,0.135970095549573,5.6535954039696,31.9631409917861,1000,0.2,0.200000000000003,81.2560617244581,0.855320996334623
"lm",50.1273169390462,0.127316939046197,5.22864663168956,27.3387455990785,1000,0.2,0.200000000000003,81.2560617244581,1
"lm_interact",50.1261035426667,0.126103542666713,5.22738781911558,27.3255834114379,1000,0.2,0.200000000000003,81.2560617244581,1.0004816800228
"rf",45.9229733107197,-4.07702668928031,5.70672930411146,32.5667593504045,1000,0.2,0.200000000000003,81.2560617244581,0.839467793062406
"bart",49.9399526803247,-0.0600473196752551,5.26469698341529,27.717034327182,1000,0.2,0.200000000000003,81.2560617244581,0.986351760306025
"super",49.5480508803676,-0.451949119632403,5.32425999977935,28.3477445452504,1000,0.2,0.200000000000003,81.2560617244581,0.964406376508675
"xgboost",48.309157309778,-1.69084269022195,5.7214870860289,32.7354144755954,1000,0.2,0.200000000000003,81.2560617244581,0.835142796785415
"correct_model",50.098292254416,0.0982922544160114,5.15507124112315,26.574759501055,1000,0.2,0.200000000000003,81.2560617244581,1.02874856112971
