"replicate","Estimator","Procedure","ModelSpec","n_obs","estimate","bias","eif_var","eif_se","bootstrap_se","bootstrap_bias","bc_estimate","ci_lower","ci_upper","bc_ci_lower","bc_ci_upper","covered_true_95","covered_true_95_bc","reject_h0_effect","reject_h0_null","bootstrap_time_sec","replicate_time_sec","covered_mc_mean_95"
1,"unadj","tmle","m1",619,61.7272340278999,11.7272340278999,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.0010383129119873,NA
2,"unadj","tmle","m1",612,62.1468029951211,12.1468029951211,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.00102806091308594,NA
3,"unadj","tmle","m1",603,55.6719148992402,5.67191489924025,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.0010373592376709,NA
4,"unadj","tmle","m1",617,51.7244074232054,1.72440742320538,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.0010063648223877,NA
5,"unadj","tmle","m1",611,52.3040349540363,2.3040349540363,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.00101041793823242,NA
6,"unadj","tmle","m1",611,54.7237512728974,4.72375127289743,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.000977754592895508,NA
7,"unadj","tmle","m1",611,59.0494213597583,9.04942135975833,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.000998258590698242,NA
8,"unadj","tmle","m1",613,76.9102999799999,26.9102999799999,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.000980854034423828,NA
9,"unadj","tmle","m1",603,66.2166878826598,16.2166878826598,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.000962972640991211,NA
10,"unadj","tmle","m1",621,64.0188198865397,14.0188198865397,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.000615596771240234,NA
11,"unadj","tmle","m1",610,52.7805451585632,2.78054515856317,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.000629186630249023,NA
12,"unadj","tmle","m1",603,65.6765871006271,15.6765871006271,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.000641822814941406,NA
13,"unadj","tmle","m1",598,65.969524753702,15.969524753702,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.000595808029174805,NA
14,"unadj","tmle","m1",578,59.860318360569,9.86031836056904,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.000612497329711914,NA
15,"unadj","tmle","m1",601,54.5337092792411,4.53370927924109,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.000638246536254883,NA
16,"unadj","tmle","m1",611,68.6693278599015,18.6693278599015,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.000603914260864258,NA
