"replicate","Estimator","estimate","bias","bootstrap_se","bootstrap_bias","bc_estimate","ci_lower","ci_upper","bc_ci_lower","bc_ci_upper","covered_true_95","covered_true_95_bc","reject_h0_effect","reject_h0_null","bootstrap_time_sec","replicate_time_sec"
1,"bart",51.6671332306996,1.66713323069959,1.95394939429561,0.552465915811133,51.1146673148885,47.8374627902663,55.4968036711328,47.2849968744552,54.9443377553217,1,1,0,1,1274.40117406845,1277.48201799393
10,"bart",51.0435531306123,1.04355313061226,2.02858405121179,-0.0986946120553469,51.1422477426676,47.0676014506248,55.0195048105997,47.1662960626801,55.1181994226551,1,1,0,1,1273.47207713127,1276.55696082115
11,"bart",49.4217353952234,-0.578264604776557,1.70661871901895,0.574392546700331,48.8473428485231,46.0768241706044,52.7666466198425,45.5024316239041,52.1922540731421,1,1,0,1,1240.74471402168,1243.72946810722
12,"bart",48.5635883849088,-1.43641161509122,2.05903325272856,-0.670742212106582,49.2343305970154,44.5279573665904,52.5992194032271,45.198699578697,53.2699616153337,1,1,0,1,1420.07749295235,1425.27971291542
13,"bart",49.5069049282852,-0.493095071714784,1.98601805804114,0.748849206140292,48.7580557221449,45.6143810618784,53.399428794692,44.8655318557381,52.6505795885517,1,1,0,1,1390.52621889114,1395.80432701111
14,"bart",49.3495105293671,-0.650489470632863,2.08526488278542,0.0330947429728994,49.3164157863942,45.2624664608816,53.4365545978527,45.2293717179087,53.4034598548798,1,1,0,1,1438.34173417091,1443.26655077934
15,"bart",49.5501405099524,-0.449859490047615,1.85969380613559,-0.353231158921588,49.903371668874,45.9052076276544,53.1950733922504,46.258438786576,53.5483045511719,1,1,0,1,1389.12564992905,1394.39545607567
16,"bart",51.7558922177566,1.75589221775663,2.01380414581538,0.181456309377616,51.574435908379,47.808908620041,55.7028758154722,47.6274523106634,55.5214195060946,1,1,0,1,1362.31719708443,1367.13251018524
17,"bart",44.8560404106802,-5.14395958931981,1.89603868384202,0.465991145838103,44.3900492648421,41.1398728770551,48.5722079443053,40.673881731217,48.1062167984672,0,0,1,1,1377.75258207321,1382.56657385826
18,"bart",50.8907828308987,0.890782830898736,1.9685747540735,-0.415341005132554,51.3061238360313,47.0324472120399,54.7491184497576,47.4477882171724,55.1644594548901,1,1,0,1,1397.21691799164,1401.93222498894
19,"bart",49.7452327747896,-0.254767225210394,1.92791204935645,0.328908683639888,49.4163240911497,45.9665945926902,53.5238709568891,45.6376859090503,53.1949622732492,1,1,0,1,1403.226115942,1408.76274609566
2,"bart",49.0656396125201,-0.934360387479906,1.83948307317287,-0.491498159205499,49.5571377717256,45.4603190389302,52.67096018611,45.9518171981357,53.1624583453155,1,1,0,1,1258.34245705605,1261.40844416618
20,"bart",49.304882072655,-0.695117927345031,1.8196668029765,0.121943991621919,49.182938081033,45.7384006749579,52.871363470352,45.616456683336,52.7494194787301,1,1,0,1,1387.70021486282,1392.36942601204
21,"bart",49.3819812759146,-0.618018724085381,2.13172110525565,0.0058877405380855,49.3760935353765,45.2038846845296,53.5600778672996,45.1979969439915,53.5541901267615,1,1,0,1,1393.80927181244,1398.91032099724
22,"bart",50.8980651005119,0.898065100511865,1.83506055995242,-0.328843955261533,51.2269090557734,47.3014124935552,54.4947177074685,47.6302564488168,54.82356166273,1,1,0,1,1380.67414999008,1385.66536521912
23,"bart",53.8092028552296,3.80920285522963,2.10299419874276,-0.126265626923342,53.935468482153,49.6874099659972,57.9309957444621,49.8136755929205,58.0572613713854,1,1,0,1,1388.84927606583,1396.30365920067
24,"bart",47.8961523011697,-2.10384769883028,1.76525291876666,0.220355483980164,47.6757968171896,44.4363201567829,51.3559844455566,44.2159646728027,51.1356289615764,1,1,0,1,1340.1007540226,1345.67906594276
25,"bart",50.1109222346202,0.11092223462019,1.80656889615781,0.383998131115689,49.7269241035045,46.5701122625606,53.6517322066798,46.1861141314449,53.2677340755641,1,1,0,1,1391.07187795639,1398.8572781086
26,"bart",47.1975833870488,-2.80241661295117,2.08927324592439,-0.0683240027026315,47.2659073897515,43.1026830711739,51.2924837029237,43.1710070738766,51.3608077056264,1,1,0,1,1335.29668688774,1341.47106981277
27,"bart",50.2278012832827,0.227801283282695,2.18867794575742,-0.0525915029837449,50.2803927862664,45.938071335841,54.5175312307244,45.9906628388248,54.5701227337081,1,1,0,1,1346.18515396118,1351.92611908913
28,"bart",49.5883511278075,-0.411648872192529,2.19733760224929,-0.195851745630726,49.7842028734382,45.2816485655233,53.8950536900917,45.477500311154,54.0909054357224,1,1,0,1,1344.7974050045,1351.53236794472
29,"bart",49.120934230972,-0.879065769028031,2.10929274997395,0.0179103961756724,49.1030238347963,44.9867964081716,53.2550720537724,44.9688860119959,53.2371616575967,1,1,0,1,1344.91706299782,1350.08068609238
3,"bart",50.7417547953462,0.741754795346154,2.13095248035608,-0.202517949598025,50.9442727449442,46.5651646810819,54.9183449096104,46.76768263068,55.1208628592084,1,1,0,1,1256.37625098228,1259.33889484406
30,"bart",45.4385323963391,-4.56146760366091,1.9973957047116,-0.47049262724078,45.9090250235799,41.5237087522294,49.3533560404488,41.9942013794701,49.8238486676896,0,0,1,1,1384.88863492012,1390.09619879723
31,"bart",47.2991907036417,-2.70080929635833,1.68632781885378,0.393868727829023,46.9053219758126,43.9940489125603,50.604332494723,43.6001801847313,50.210463766894,1,1,0,1,1338.9743142128,1345.63623809814
32,"bart",51.9306228341086,1.9306228341086,2.23143890204707,-0.406935550971546,52.3375583850802,47.5570829523947,56.3041627158225,47.9640185033663,56.711098266794,1,1,0,1,1364.83898711205,1370.35786414146
33,"bart",48.0711561861939,-1.92884381380608,1.85695909451549,-0.152382324400968,48.2235385105949,44.4315832401795,51.7107291322084,44.5839655645804,51.8631114566093,1,1,0,1,1324.88953089714,1330.31097507477
34,"bart",51.4561817013127,1.45618170131266,2.07098561146903,0.16722261519034,51.2889590861223,47.3971244903327,55.5152389122926,47.2299018751424,55.3480162971023,1,1,0,1,1457.48405814171,1462.66244888306
35,"bart",48.0603427879074,-1.93965721209258,2.18900530598004,-0.178236709359076,48.2385794972665,43.7699712262195,52.3507143495954,43.9482079355785,52.5289510589545,1,1,0,1,1378.268201828,1383.81570100784
36,"bart",48.6164588914187,-1.38354110858127,1.87536708985505,0.232985031463997,48.3834738599547,44.9408069375111,52.2921108453263,44.7078219060471,52.0591258138623,1,1,0,1,1366.35803389549,1371.32498908043
37,"bart",50.4943541165005,0.494354116500517,1.9884618260948,-0.0439378250010733,50.5382919415016,46.597040552722,54.3916676802791,46.640978377723,54.4356055052801,1,1,0,1,1346.849629879,1353.01672005653
38,"bart",45.2368394320338,-4.76316056796617,1.68154190819691,0.188602127521605,45.0482373045122,41.9410778534731,48.5326010105945,41.7524757259515,48.3439988830729,0,0,1,1,1387.23780679703,1392.32614517212
