"method","status","timestamp","error"
"unadj","done","2026-05-15 12:50:09.432228",NA
"lm","done","2026-05-15 12:51:52.337683",NA
"lm_interact","done","2026-05-15 12:53:38.814861",NA
"rf","done","2026-05-15 15:58:59.894636",NA
"bart","done","2026-05-19 15:21:51.658724",NA
"super","done","2026-05-21 16:50:17.400161",""
"xgboost","done","2026-05-21 17:01:25.99755",""
"correct_model","done","2026-05-21 17:04:57.364447",""
