"n","target_r2","achieved_r2_raw","ss","setting","Estimator","Procedure","ModelSpec","mean_estimate","mean_bias","mean_n_obs","mc_sd_estimate","mc_var_estimate","mc_se_estimate","sd_estimate","var_estimate","mean_bootstrap_se","sd_bootstrap_se","mean_bootstrap_bias","mean_eif_se","mean_eif_var","coverage_95","coverage_95_mc_mean","coverage_95_bc","reject_h0_effect_prob","reject_h0_null_prob","mean_ci_lower","mean_ci_upper","mean_bc_ci_lower","mean_bc_ci_upper","mean_bootstrap_time_sec","mean_replicate_time_sec","std_bias"
1000,0.2,0.199999999999999,76.8812679205191,"setting_one","rf","single_stage_drml","m1",46.0991349436224,-3.90086505637758,512,NA,NA,NA,NA,NA,NA,NA,NA,3.71944533563277,13834.2736047604,1,1,NA,0,1,38.8091560433167,53.3891138439281,NA,NA,NA,0.19554615020752,NA
1000,0.2,0.199999999999999,76.8812679205191,"setting_one","super","single_stage_drml","m1",52.4750587101391,2.47505871013908,512,NA,NA,NA,NA,NA,NA,NA,NA,3.66512036609217,13433.1072979436,1,1,NA,0,1,45.2915547935942,59.658562626684,NA,NA,NA,3.35983180999756,NA
1000,0.2,0.199999999999999,76.8812679205191,"setting_one","xgboost","single_stage_drml","m1",50.7750743526806,0.77507435268059,512,NA,NA,NA,NA,NA,NA,NA,NA,4.18793461882027,17538.7963715133,1,1,NA,0,1,42.5668733301844,58.9832753751768,NA,NA,NA,0.490540027618408,NA
1000,0.2,0.199999999999999,76.8812679205191,"setting_one","super","single_stage_drml","m1",52.4215332212938,2.42153322129379,512,NA,NA,NA,NA,NA,NA,NA,NA,3.61047085525336,13035.4997966339,1,1,NA,0,1,45.3451403777657,59.4979260648219,NA,NA,NA,3.24736094474792,NA
1000,0.2,0.199999999999999,76.8812679205191,"setting_one","xgboost","single_stage_drml","m1",48.9098610045903,-1.09013899540973,512,NA,NA,NA,NA,NA,NA,NA,NA,4.32810227192014,18732.4692762003,1,1,NA,0,1,40.4269364302208,57.3927855789597,NA,NA,NA,0.475383996963501,NA
1000,0.2,0.199999999999999,76.8812679205191,"setting_one","super","single_stage_drml","m1",52.3781063935556,2.37810639355559,512,NA,NA,NA,NA,NA,NA,NA,NA,3.62473428857839,13138.6986627959,1,1,NA,0,1,45.2737577344145,59.4824550526966,NA,NA,NA,3.27634191513062,NA
1000,0.2,0.199999999999999,76.8812679205191,"setting_one","unadj","single_stage_drml","m1",53.8722625559338,3.87226255593379,512,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.000153064727783203,NA
1000,0.2,0.199999999999999,76.8812679205191,"setting_one","xgboost","single_stage_drml","m1",49.1883299911502,-0.81167000884976,512,NA,NA,NA,NA,NA,NA,NA,NA,4.43467787657004,19666.3678689398,1,1,NA,0,1,40.4965210700364,57.8801389122641,NA,NA,NA,0.498955011367798,NA
1000,0.2,0.199999999999999,76.8812679205191,"setting_one","super","single_stage_drml","m1",52.2700557622569,2.27005576225691,512,NA,NA,NA,NA,NA,NA,NA,NA,3.6371602046213,13228.9343540809,1,1,NA,0,1,45.1413527551968,59.398758769317,NA,NA,NA,3.31700992584229,NA
1000,0.2,0.199999999999999,76.8812679205191,"setting_one","unadj","single_stage_drml","m1",53.8722625559338,3.87226255593379,512,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.000145912170410156,NA
1000,0.2,0.199999999999999,76.8812679205191,"setting_one","xgboost","single_stage_drml","m1",51.9241117382532,1.92411173825317,512,NA,NA,NA,NA,NA,NA,NA,NA,4.23267529135218,17915.5401220232,1,1,NA,0,1,43.6282206089503,60.220002867556,NA,NA,NA,0.496680974960327,NA
