"method","status","timestamp","error"
"unadj","done","2026-05-16 22:37:00.201895",NA
"lm","done","2026-05-16 22:37:26.500331",NA
"lm_interact","done","2026-05-17 09:56:52.657045",""
"rf","done","2026-05-17 09:57:53.426166",""
"bart","done","2026-05-17 10:02:11.680258",""
"xgboost","done","2026-05-17 10:03:50.126896",""
"super","done","2026-05-17 10:23:32.191788",""
