"replicate","Estimator","Procedure","ModelSpec","n_obs","estimate","bias","eif_var","eif_se","bootstrap_se","bootstrap_bias","bc_estimate","ci_lower","ci_upper","bc_ci_lower","bc_ci_upper","covered_true_95","covered_true_95_bc","reject_h0_effect","reject_h0_null","bootstrap_time_sec","replicate_time_sec","covered_mc_mean_95"
1,"xgboost","tmle","m2",608,61.238751820086,11.238751820086,15090.6616408524,3.88467008133926,NA,NA,NA,53.6249383688408,68.8525652713313,NA,NA,0,NA,1,1,NA,1.74278211593628,NA
2,"xgboost","tmle","m2",624,56.1587442742265,6.15874427422647,12340.5033649947,3.51290525989454,NA,NA,NA,49.2735764837319,63.0439120647211,NA,NA,1,NA,0,1,NA,1.88636255264282,NA
3,"xgboost","tmle","m2",622,58.9779663308478,8.97796633084783,11999.5660768146,3.46403898315458,NA,NA,NA,52.1885746828221,65.7673579788735,NA,NA,0,NA,1,1,NA,2.06583428382874,NA
4,"xgboost","tmle","m2",597,59.9415831716665,9.94158317166649,16760.0518912204,4.09390423571685,NA,NA,NA,51.9176783135055,67.9654880298275,NA,NA,0,NA,1,1,NA,2.07652449607849,NA
5,"xgboost","tmle","m2",624,61.7449461738116,11.7449461738116,28462.9358767689,5.33506662346112,NA,NA,NA,51.288407736706,72.2014846109171,NA,NA,0,NA,1,1,NA,2.08659625053406,NA
6,"xgboost","tmle","m2",618,57.2516310144972,7.25163101449719,14696.8975147737,3.83365328567591,NA,NA,NA,49.7378086453588,64.7654533836356,NA,NA,1,NA,0,1,NA,2.11424779891968,NA
7,"xgboost","tmle","m2",613,48.7250580809273,-1.27494191907266,14653.5440133089,3.8279947770744,NA,NA,NA,41.2223261848541,56.2277899770006,NA,NA,1,NA,0,1,NA,2.05317687988281,NA
8,"xgboost","tmle","m2",624,59.5194908360886,9.5194908360886,13453.132225492,3.66785117275661,NA,NA,NA,52.3306346368326,66.7083470353445,NA,NA,0,NA,1,1,NA,2.1028299331665,NA
9,"xgboost","tmle","m2",600,60.2020122219128,10.2020122219128,13597.4868415391,3.68747702928968,NA,NA,NA,52.9746900506863,67.4293343931393,NA,NA,0,NA,1,1,NA,2.13862657546997,NA
10,"xgboost","tmle","m2",629,53.5012868209816,3.50128682098162,11377.9897811982,3.37312759634114,NA,NA,NA,46.8900782168948,60.1124954250684,NA,NA,1,NA,0,1,NA,1.35947680473328,NA
11,"xgboost","tmle","m2",608,58.5765666792135,8.57656667921352,12086.583577062,3.4765764161114,NA,NA,NA,51.7626021141338,65.3905312442932,NA,NA,0,NA,1,1,NA,1.63188719749451,NA
12,"xgboost","tmle","m2",601,54.6794886584874,4.67948865848737,13354.1314054292,3.65433050030087,NA,NA,NA,47.5171324902914,61.8418448266833,NA,NA,1,NA,0,1,NA,1.5638210773468,NA
13,"xgboost","tmle","m2",627,58.3637539320089,8.36375393200891,12990.4309300693,3.60422403993832,NA,NA,NA,51.2996046215163,65.4279032425015,NA,NA,0,NA,1,1,NA,1.76957178115845,NA
14,"xgboost","tmle","m2",610,61.4645019829611,11.4645019829611,13318.6482669782,3.64947232719721,NA,NA,NA,54.311667659079,68.6173363068432,NA,NA,0,NA,1,1,NA,1.78017830848694,NA
15,"xgboost","tmle","m2",622,64.3918972172874,14.3918972172874,13710.6285633424,3.70278659435598,NA,NA,NA,57.134568849912,71.6492255846629,NA,NA,0,NA,1,1,NA,1.72393321990967,NA
16,"xgboost","tmle","m2",621,58.5988960578894,8.59889605788936,11797.4745330541,3.4347451918671,NA,NA,NA,51.8669191857577,65.330872930021,NA,NA,0,NA,1,1,NA,1.76954102516174,NA
17,"xgboost","tmle","m2",607,56.7107880061026,6.71078800610263,18434.0612297243,4.29349056476479,NA,NA,NA,48.2957011312011,65.1258748810042,NA,NA,1,NA,0,1,NA,1.77765417098999,NA
18,"xgboost","tmle","m2",613,62.0695575361357,12.0695575361357,14350.6777645599,3.78822884268624,NA,NA,NA,54.6447654392748,69.4943496329966,NA,NA,0,NA,1,1,NA,1.74778890609741,NA
19,"xgboost","tmle","m2",595,59.7002005652901,9.70020056529011,19799.3718246765,4.44964850574475,NA,NA,NA,50.9790497501679,68.4213513804123,NA,NA,0,NA,1,1,NA,1.76575946807861,NA
