"replicate","Estimator","Procedure","ModelSpec","n_obs","estimate","bias","eif_var","eif_se","bootstrap_se","bootstrap_bias","bc_estimate","ci_lower","ci_upper","bc_ci_lower","bc_ci_upper","covered_true_95","covered_true_95_bc","reject_h0_effect","reject_h0_null","bootstrap_time_sec","replicate_time_sec","covered_mc_mean_95"
1,"bart","tmle","m2",619,60.4425783839772,10.4425783839772,49309.74318041,7.02208965909793,NA,NA,NA,46.6795355559342,74.2056212120203,NA,NA,1,NA,0,1,NA,4.73287010192871,NA
2,"bart","tmle","m2",612,62.0005717403705,12.0005717403705,56809.9313688537,7.53723632168009,NA,NA,NA,47.2278600069104,76.7732834738306,NA,NA,1,NA,0,1,NA,4.90986323356628,NA
3,"bart","tmle","m2",603,54.4684943180294,4.46849431802942,51121.7677025901,7.14994879020753,NA,NA,NA,40.4548521979169,68.4821364381419,NA,NA,1,NA,0,1,NA,4.82457232475281,NA
4,"bart","tmle","m2",617,57.8394358909982,7.8394358909982,51528.7230423646,7.1783509974342,NA,NA,NA,43.77012646764,71.9087453143564,NA,NA,1,NA,0,1,NA,4.77830839157104,NA
5,"bart","tmle","m2",611,55.4056910177172,5.40569101771719,73415.349437324,8.56827575637736,NA,NA,NA,38.6121791256099,72.1992029098245,NA,NA,1,NA,0,1,NA,4.88025617599487,NA
6,"bart","tmle","m2",611,51.921547056132,1.92154705613199,67914.4632473193,8.24102319177172,NA,NA,NA,35.7694384045001,68.0736557077639,NA,NA,1,NA,0,1,NA,4.91078233718872,NA
7,"bart","tmle","m2",611,58.0917125200527,8.09171252005273,64306.4253968053,8.01912871805942,NA,NA,NA,42.3745090452654,73.80891599484,NA,NA,1,NA,0,1,NA,4.84171390533447,NA
8,"bart","tmle","m2",613,74.0847783332672,24.0847783332672,77537.6886304343,8.80554874101747,NA,NA,NA,56.8262199367609,91.3433367297734,NA,NA,0,NA,1,1,NA,4.86473536491394,NA
9,"bart","tmle","m2",603,66.1342208367496,16.1342208367496,72517.7458544188,8.5157351916566,NA,NA,NA,49.4436865592224,82.8247551142769,NA,NA,1,NA,0,1,NA,4.80688762664795,NA
10,"bart","tmle","m2",621,61.4533990174959,11.4533990174959,49691.1596482878,7.04919567385442,NA,NA,NA,47.6372293767657,75.2695686582261,NA,NA,1,NA,0,1,NA,4.72750973701477,NA
11,"bart","tmle","m2",610,54.7213602662065,4.72136026620654,49823.1945296759,7.05855470543906,NA,NA,NA,40.8868472606403,68.5558732717728,NA,NA,1,NA,0,1,NA,4.65572142601013,NA
12,"bart","tmle","m2",603,61.310893888058,11.310893888058,66112.8020121406,8.13097792471119,NA,NA,NA,45.3744699965339,77.2473177795822,NA,NA,1,NA,0,1,NA,4.74627637863159,NA
13,"bart","tmle","m2",598,64.0763237071156,14.0763237071156,54845.1238399597,7.40574937733918,NA,NA,NA,49.5613216490009,78.5913257652304,NA,NA,1,NA,0,1,NA,4.69665265083313,NA
14,"bart","tmle","m2",578,56.1648455594924,6.16484555949245,62459.7199672941,7.90314620687825,NA,NA,NA,40.6749636294567,71.6547274895282,NA,NA,1,NA,0,1,NA,4.69193291664124,NA
15,"bart","tmle","m2",601,54.6630114880937,4.66301148809372,51274.083087177,7.1605923698516,NA,NA,NA,40.6285083352123,68.6975146409752,NA,NA,1,NA,0,1,NA,4.70668768882751,NA
16,"bart","tmle","m2",611,67.4613978696,17.4613978696,53280.1527055003,7.2993254966127,NA,NA,NA,53.1549827848041,81.7678129543958,NA,NA,0,NA,1,1,NA,4.72746419906616,NA
17,"bart","tmle","m2",618,67.4052959304497,17.4052959304497,59174.7254701205,7.69251099902499,NA,NA,NA,52.3282514216825,82.4823404392169,NA,NA,0,NA,1,1,NA,4.72432231903076,NA
18,"bart","tmle","m2",615,74.5843029838499,24.5843029838499,69040.2329259827,8.30904524755899,NA,NA,NA,58.2988735527206,90.8697324149792,NA,NA,0,NA,1,1,NA,4.70019888877869,NA
19,"bart","tmle","m2",611,51.4431547679106,1.44315476791059,52365.1251351568,7.23637513781291,NA,NA,NA,37.2601201191762,65.6261894166449,NA,NA,1,NA,0,1,NA,5.03314399719238,NA
20,"bart","tmle","m2",613,59.1983597084587,9.19835970845874,45384.9579968849,6.73683590396003,NA,NA,NA,45.9944039669408,72.4023154499767,NA,NA,1,NA,0,1,NA,5.07240653038025,NA
21,"bart","tmle","m2",631,55.2505466848119,5.25054668481186,66478.1863753606,8.15341562631028,NA,NA,NA,39.2701457062576,71.2309476633661,NA,NA,1,NA,0,1,NA,5.05985975265503,NA
22,"bart","tmle","m2",574,59.5158499552418,9.5158499552418,56730.0705095307,7.53193670376555,NA,NA,NA,44.753525282026,74.2781746284576,NA,NA,1,NA,0,1,NA,5.10218524932861,NA
23,"bart","tmle","m2",593,58.1205645917505,8.12056459175045,67943.6603871297,8.24279445255853,NA,NA,NA,41.9649843327692,74.2761448507317,NA,NA,1,NA,0,1,NA,5.04496788978577,NA
24,"bart","tmle","m2",595,50.3624650556525,0.362465055652493,52264.5607163136,7.22942326304897,NA,NA,NA,36.1930558310805,64.5318742802245,NA,NA,1,NA,0,1,NA,5.06867694854736,NA
25,"bart","tmle","m2",617,46.8268875384234,-3.17311246157662,55294.9035556471,7.43605430020835,NA,NA,NA,32.2524889229308,61.4012861539159,NA,NA,1,NA,0,1,NA,5.02811360359192,NA
26,"bart","tmle","m2",616,61.1654472398115,11.1654472398115,56646.3278382537,7.52637547816037,NA,NA,NA,46.4140223684917,75.9168721111312,NA,NA,1,NA,0,1,NA,5.15456676483154,NA
27,"bart","tmle","m2",613,49.8042729800354,-0.195727019964586,56554.8059421512,7.52029294257552,NA,NA,NA,35.0647696593966,64.5437763006742,NA,NA,1,NA,0,1,NA,5.07803273200989,NA
28,"bart","tmle","m2",607,60.4621860265952,10.4621860265952,55466.8734948723,7.44760857556788,NA,NA,NA,45.8651414475305,75.0592306056599,NA,NA,1,NA,0,1,NA,4.839026927948,NA
29,"bart","tmle","m2",630,57.0925215795024,7.09252157950241,75920.6577510489,8.71324610871568,NA,NA,NA,40.0148730179859,74.1701701410189,NA,NA,1,NA,0,1,NA,4.73015761375427,NA
30,"bart","tmle","m2",608,57.154160378983,7.15416037898301,48759.4445225326,6.98279632543672,NA,NA,NA,43.4681310697484,70.8401896882176,NA,NA,1,NA,0,1,NA,4.83439016342163,NA
