"replicate","Estimator","Procedure","ModelSpec","n_obs","estimate","bias","eif_var","eif_se","bootstrap_se","bootstrap_bias","bc_estimate","ci_lower","ci_upper","bc_ci_lower","bc_ci_upper","covered_true_95","covered_true_95_bc","reject_h0_effect","reject_h0_null","bootstrap_time_sec","replicate_time_sec","covered_mc_mean_95"
1,"super","tmle","m2",309,63.7358063695971,13.7358063695971,12911.0267297604,5.08154046126966,NA,NA,NA,53.7761700795255,73.6954426596687,NA,NA,0,NA,1,1,NA,21.5351705551147,NA
2,"super","tmle","m2",292,65.5096166214761,15.5096166214761,7255.47705423804,3.80932462629218,NA,NA,NA,58.0434775485219,72.9757556944302,NA,NA,0,NA,1,1,NA,21.2150132656097,NA
3,"super","tmle","m2",306,60.779511910309,10.779511910309,8358.69213298341,4.08868979820759,NA,NA,NA,52.7658271618658,68.7931966587522,NA,NA,0,NA,1,1,NA,21.4272663593292,NA
4,"super","tmle","m2",316,57.7338206762415,7.73382067624154,6922.97503834867,3.72101465687752,NA,NA,NA,50.4407659628159,65.0268753896672,NA,NA,0,NA,1,1,NA,21.8011264801025,NA
5,"super","tmle","m2",291,59.3921606076589,9.3921606076589,8840.95412742625,4.20498611827108,NA,NA,NA,51.1505392603567,67.6337819549611,NA,NA,0,NA,1,1,NA,23.6973466873169,NA
6,"super","tmle","m2",294,63.1430431466189,13.1430431466189,7729.26334128757,3.93173329240109,NA,NA,NA,55.4369874966957,70.8490987965421,NA,NA,0,NA,1,1,NA,20.8212916851044,NA
7,"super","tmle","m2",302,61.3697774260607,11.3697774260607,9283.64907965862,4.30897878380913,NA,NA,NA,52.9243341996476,69.8152206524738,NA,NA,0,NA,1,1,NA,21.2802438735962,NA
8,"super","tmle","m2",314,56.2728317233387,6.27283172333874,7147.90704384084,3.78098057224336,NA,NA,NA,48.8622459754961,63.6834174711814,NA,NA,1,NA,0,1,NA,21.9087364673615,NA
9,"super","tmle","m2",300,60.4172101211462,10.4172101211462,12590.1604326157,5.01799968764759,NA,NA,NA,50.5821114589237,70.2523087833687,NA,NA,0,NA,1,1,NA,23.4213092327118,NA
10,"super","tmle","m2",296,52.059866737666,2.05986673766598,8157.10474402217,4.03908522911368,NA,NA,NA,44.1434051581154,59.9763283172165,NA,NA,1,NA,0,1,NA,21.5547995567322,NA
11,"super","tmle","m2",302,59.1061057071717,9.10610570717166,7260.6630437407,3.81068577653437,NA,NA,NA,51.6372988287652,66.5749125855781,NA,NA,0,NA,1,1,NA,22.0363283157349,NA
12,"super","tmle","m2",317,63.0083605150449,13.0083605150449,8664.54319208628,4.16282192558997,NA,NA,NA,54.8493794668349,71.1673415632549,NA,NA,0,NA,1,1,NA,20.1625900268555,NA
13,"super","tmle","m2",284,63.0987157831231,13.0987157831231,31284.6407236423,7.91007468025964,NA,NA,NA,47.595254294792,78.6021772714541,NA,NA,1,NA,0,1,NA,19.9353775978088,NA
14,"super","tmle","m2",322,57.753645230794,7.75364523079404,6219.89966612791,3.52700997053536,NA,NA,NA,50.8408327154311,64.666457746157,NA,NA,0,NA,1,1,NA,20.2031428813934,NA
15,"super","tmle","m2",306,60.5764767470797,10.5764767470797,7094.93453048251,3.7669442604006,NA,NA,NA,53.1934016649247,67.9595518292348,NA,NA,0,NA,1,1,NA,21.091400384903,NA
16,"super","tmle","m2",310,62.2949705410895,12.2949705410895,9293.07604966517,4.3111659790978,NA,NA,NA,53.8452404906835,70.7447005914956,NA,NA,0,NA,1,1,NA,24.3125436306,NA
17,"super","tmle","m2",294,60.1954716029059,10.1954716029059,17278.8697908718,5.87858312705908,NA,NA,NA,48.6736603937453,71.7172828120666,NA,NA,1,NA,0,1,NA,19.7852146625519,NA
18,"super","tmle","m2",316,61.2573480298207,11.2573480298207,5723.52705745727,3.38334954075315,NA,NA,NA,54.6261047828344,67.888591276807,NA,NA,0,NA,1,1,NA,20.4249048233032,NA
19,"super","tmle","m2",314,57.0010251820697,7.00102518206972,8022.39885813873,4.0055958004119,NA,NA,NA,49.1502016766375,64.8518486875019,NA,NA,1,NA,0,1,NA,21.1944079399109,NA
20,"super","tmle","m2",325,58.8492460347133,8.84924603471334,6859.79434013804,3.70399631213046,NA,NA,NA,51.5895466640685,66.1089454053582,NA,NA,0,NA,1,1,NA,20.6913650035858,NA
21,"super","tmle","m2",307,58.9923868815765,8.99238688157646,6442.13460582882,3.58946642436695,NA,NA,NA,51.9571619661015,66.0276117970514,NA,NA,0,NA,1,1,NA,20.027410030365,NA
22,"super","tmle","m2",293,56.6840302807755,6.68403028077547,17012.433285309,5.83308379595374,NA,NA,NA,45.251396121902,68.116664439649,NA,NA,1,NA,0,1,NA,20.1726024150848,NA
23,"super","tmle","m2",303,63.6852803815756,13.6852803815756,13602.5108252472,5.21584333070832,NA,NA,NA,53.4624153043839,73.9081454587673,NA,NA,0,NA,1,1,NA,21.033519744873,NA
24,"super","tmle","m2",297,56.3004803994186,6.30048039941864,8691.45879573819,4.16928262312312,NA,NA,NA,48.1288366167286,64.4721241821086,NA,NA,1,NA,0,1,NA,21.366304397583,NA
25,"super","tmle","m2",297,63.859131596332,13.859131596332,7332.97533149137,3.82961494970222,NA,NA,NA,56.3532242202595,71.3650389724045,NA,NA,0,NA,1,1,NA,21.09499168396,NA
26,"super","tmle","m2",299,52.6330092094715,2.63300920947152,11674.2840725837,4.83203561091672,NA,NA,NA,43.1623934400598,62.1036249788833,NA,NA,1,NA,0,1,NA,23.3992128372192,NA
27,"super","tmle","m2",314,54.6912388197545,4.69123881975445,9157.58256534948,4.27962207802266,NA,NA,NA,46.3033336793876,63.0791439601213,NA,NA,1,NA,0,1,NA,21.8091883659363,NA
