"Estimator","mean_estimate","mean_bias","mc_sd_estimate","mc_var_estimate","mc_se_estimate","sd_estimate","var_estimate","mean_bootstrap_se","sd_bootstrap_se","mean_bootstrap_bias","coverage_95","coverage_95_mc_mean","coverage_95_bc","reject_h0_effect_prob","reject_h0_null_prob","mean_ci_lower","mean_ci_upper","mean_bc_ci_lower","mean_bc_ci_upper","mean_bootstrap_time_sec","mean_replicate_time_sec","relative_efficiency"
"bart",49.5071283851924,-0.492871614807623,5.15767656397888,26.601627538617,0.230658308060286,5.15767656397888,26.601627538617,5.16495715888735,0.429719334659226,0.00219601101207251,0.958,0.954,0.932,0.042,1,39.3839983720809,59.6302583983039,39.3818023610688,59.6280623872918,878.136690013409,881.80396995163,0.988906877145001
"correct_model",49.9410379586526,-0.0589620413473934,5.0642298159035,25.646423628286,0.226479242440829,5.0642298159035,25.646423628286,5.15829657963891,0.43067305682645,-0.0316067651334225,0.956,0.958,0.956,0.044,1,39.8309624409842,60.051113476321,39.8625692061176,60.0827202414544,2.06376810884476,2.0760271191597,1.02573882415224
"lm",49.9558037895735,-0.0441962104265523,5.12898941470814,26.3065324161882,0.229375379743285,5.12898941470814,26.3065324161882,5.26352192036672,0.431673392313983,-0.0422163633010428,0.956,0.958,0.962,0.044,1,39.6394903938176,60.2721171853293,39.6817067571186,60.3143335486304,2.46794068098068,2.47944782781601,1
"lm_interact",49.9323065321048,-0.0676934678951862,5.17181939056047,26.7477158085773,0.231290794492895,5.17181939056047,26.7477158085773,5.31450504522357,0.434445366296733,-0.0202405704029071,0.954,0.956,0.958,0.046,1,39.5160680478102,60.3485450163994,39.5363086182131,60.3687855868023,2.63811261510849,2.65063060188293,0.983505754452213
"rf",42.2968338419981,-7.70316615800188,5.8605758793929,34.3463496381219,0.262092921072363,5.8605758793929,34.3463496381219,6.18592694478853,0.534770469335628,-1.20445905256891,0.77,0.964,0.804,0.23,1,30.1726398192167,54.4210278647795,31.3770988717856,55.6254869173485,107.639516035557,108.138018073082,0.765919310009874
"super",48.3961233709608,-1.60387662903916,5.36775186275573,28.8127600601176,0.240053161029459,5.36775186275573,28.8127600601176,5.99912914908448,0.532076810388302,-5.81762135753425,0.96,0.964,0.924,0.04,1,36.6380463001508,60.1542004417708,42.4556676576851,65.9718217993051,1781.37012543201,1788.97204305649,0.913016745403766
"unadj",49.9632181812673,-0.036781818732689,5.49600111646949,30.2060282722338,0.24578864201681,5.49600111646949,30.2060282722338,5.63011777620747,0.466475103776773,-0.00553454535921456,0.964,0.966,0.962,0.036,1,38.9283901111819,60.9980462513527,38.9339246565412,61.0035807967119,0.216588545799255,0.217424426555634,0.870903389849829
"xgboost",43.0052570682254,-6.99474293177459,6.05812166011795,36.7008380487902,0.270927436959752,6.05812166011795,36.7008380487902,6.2467092470572,0.510788632052167,-0.954300601376366,0.792,0.948,0.754,0.208,1,30.7619319221,55.2485822143508,31.7162325234764,56.2028828157272,10.1018258290291,10.146776491642,0.716782880576629
