"n","target_r2","achieved_r2_raw","ss","setting","Estimator","Procedure","ModelSpec","mean_estimate","mean_bias","mean_n_obs","sd_estimate","std_bias"
500,0.4,0.400000000000006,48.1227242770227,"setting_one","bart","single_stage","m1",49.2780819105566,-0.721918089443421,250.45,6.53524178684218,-0.110465398678424
500,0.4,0.400000000000006,48.1227242770227,"setting_one","correct_model","single_stage","m1",50.1410613200714,0.141061320071387,250.45,6.17161615186867,0.0228564636231752
500,0.4,0.400000000000006,48.1227242770227,"setting_one","lm_interact","single_stage","m1",50.091929096999,0.0919290969989509,250.45,7.61108387656218,0.0120783187374981
500,0.4,0.400000000000006,48.1227242770227,"setting_one","lm","single_stage","m1",50.1484354094926,0.148435409492598,250.45,6.41793188160231,0.0231282307495509
500,0.4,0.400000000000006,48.1227242770227,"setting_one","rf","single_stage","m1",41.2010513589863,-8.79894864101368,250.45,7.83950363372616,-1.12238593820659
500,0.4,0.400000000000006,48.1227242770227,"setting_one","super","single_stage","m1",48.7300899681327,-1.26991003186728,250.45,6.71226805451854,-0.189192389450599
500,0.4,0.400000000000006,48.1227242770227,"setting_one","unadj","single_stage","m1",50.164636821743,0.164636821743034,250.45,7.6593028495747,0.0214950139688204
500,0.4,0.400000000000006,48.1227242770227,"setting_one","xgboost","single_stage","m1",46.4838949663316,-3.5161050336684,250.45,8.18797237023462,-0.429423167871248
