"n","target_r2","achieved_r2_raw","ss","setting","Estimator","Procedure","ModelSpec","mean_estimate","mean_bias","mean_n_obs","sd_estimate","std_bias"
500,0.8,0.800000000000004,12.0383016363118,"setting_one","bart","single_stage","m1",49.7294165085892,-0.270583491410806,249.315,2.03852550484682,-0.132734906071797
500,0.8,0.800000000000004,12.0383016363118,"setting_one","correct_model","single_stage","m1",49.9557690343987,-0.0442309656013129,249.315,1.52518127344334,-0.0290004646473625
500,0.8,0.800000000000004,12.0383016363118,"setting_one","lm_interact","single_stage","m1",49.8610449900697,-0.138955009930263,249.315,3.56503619955058,-0.0389771666127206
500,0.8,0.800000000000004,12.0383016363118,"setting_one","lm","single_stage","m1",49.9728666981213,-0.0271333018787016,249.315,2.35328772462109,-0.0115299551324819
500,0.8,0.800000000000004,12.0383016363118,"setting_one","rf","single_stage","m1",44.5945928362805,-5.40540716371946,249.315,2.84916560988362,-1.89718952979369
500,0.8,0.800000000000004,12.0383016363118,"setting_one","super","single_stage","m1",49.5908932482439,-0.409106751756123,249.315,2.06342778441086,-0.198265601949781
500,0.8,0.800000000000004,12.0383016363118,"setting_one","unadj","single_stage","m1",49.9256030183141,-0.0743969816858593,249.315,4.64331113434094,-0.0160223985714925
500,0.8,0.800000000000004,12.0383016363118,"setting_one","xgboost","single_stage","m1",48.3652357614594,-1.63476423854065,249.315,2.93546150230452,-0.556901951279981
