"n","target_r2","achieved_r2_raw","ss","setting","Estimator","Procedure","ModelSpec","mean_estimate","mean_bias","mean_n_obs","mc_sd_estimate","mc_var_estimate","mc_se_estimate","sd_estimate","var_estimate","mean_bootstrap_se","sd_bootstrap_se","mean_bootstrap_bias","mean_eif_se","mean_eif_var","coverage_95","coverage_95_mc_mean","coverage_95_bc","reject_h0_effect_prob","reject_h0_null_prob","mean_ci_lower","mean_ci_upper","mean_bc_ci_lower","mean_bc_ci_upper","mean_bootstrap_time_sec","mean_replicate_time_sec","std_bias","relative_efficiency"
1000,0.2,0.200000000000002,81.1581892217526,"setting_three","bart","tmle","m1",51.7443476524596,1.74434765245963,608.122,6.8224199683997,46.545414225219,0.305107896407874,6.8224199683997,46.545414225219,NA,NA,NA,7.95838825164737,72508.9154754554,0.968,0.974,NA,0.032,0.996,36.1461933042441,67.3425020006752,NA,NA,NA,5.4684347076416,0.255678726982384,NA
1000,0.2,0.200000000000002,81.1581892217526,"setting_three","correct_model","tmle","m1",50.3846358394933,0.384635839493277,608.122,6.82536129092371,46.5855567516398,0.305239436350023,6.82536129092371,46.5855567516398,NA,NA,NA,7.15829084149371,51615.9191817493,0.96,0.964,NA,0.04,1,36.3546435993027,64.4146280796839,NA,NA,NA,0.064355751991272,0.0563539163860471,NA
1000,0.2,0.200000000000002,81.1581892217526,"setting_three","lm_interact","tmle","m1",50.0873470699276,0.0873470699276137,608.122,7.49333275861624,56.1500358313513,0.335112028525839,7.49333275861624,56.1500358313513,NA,NA,NA,8.60804416799069,151859.354274003,0.954,0.956,NA,0.046,0.988,33.2158905233358,66.9588036165194,NA,NA,NA,0.0637910184860229,0.0116566383398865,NA
1000,0.2,0.200000000000002,81.1581892217526,"setting_three","lm","tmle","m1",50.9728683250517,0.972868325051661,608.122,6.88741736253094,47.4365179256927,0.30801466824063,6.88741736253094,47.4365179256927,NA,NA,NA,8.37099282035404,94339.5963863082,0.97,0.97,NA,0.03,0.984,34.5660238823144,67.3797127677889,NA,NA,NA,0.0653416790962219,0.141252994241975,1
1000,0.2,0.200000000000002,81.1581892217526,"setting_three","rf","tmle","m1",47.2786941495062,-2.72130585049378,608.122,7.23893327411165,52.4021549470408,0.323734937709975,7.23893327411165,52.4021549470408,NA,NA,NA,8.19107388609292,79864.8916583971,0.936,0.966,NA,0.064,0.99,31.2244843380576,63.3329039609549,NA,NA,NA,0.568285068511963,-0.37592636199948,NA
1000,0.2,0.200000000000002,81.1581892217526,"setting_three","bart","tmle","m1",51.7443476524596,1.74434765245963,608.122,6.8224199683997,46.545414225219,0.305107896407874,6.8224199683997,46.545414225219,NA,NA,NA,7.95838825164737,72508.9154754554,0.968,0.974,NA,0.032,0.996,36.1461933042441,67.3425020006752,NA,NA,NA,5.4684347076416,0.255678726982384,1.01914482264916
1000,0.2,0.200000000000002,81.1581892217526,"setting_three","correct_model","tmle","m1",50.3846358394933,0.384635839493277,608.122,6.82536129092371,46.5855567516398,0.305239436350023,6.82536129092371,46.5855567516398,NA,NA,NA,7.15829084149371,51615.9191817493,0.96,0.964,NA,0.04,1,36.3546435993027,64.4146280796839,NA,NA,NA,0.064355751991272,0.0563539163860471,1.01826663097727
1000,0.2,0.200000000000002,81.1581892217526,"setting_three","lm_interact","tmle","m1",50.0873470699276,0.0873470699276137,608.122,7.49333275861624,56.1500358313513,0.335112028525839,7.49333275861624,56.1500358313513,NA,NA,NA,8.60804416799069,151859.354274003,0.954,0.956,NA,0.046,0.988,33.2158905233358,66.9588036165194,NA,NA,NA,0.0637910184860229,0.0116566383398865,0.844817233388239
1000,0.2,0.200000000000002,81.1581892217526,"setting_three","lm","tmle","m1",50.9728683250517,0.972868325051661,608.122,6.88741736253094,47.4365179256927,0.30801466824063,6.88741736253094,47.4365179256927,NA,NA,NA,8.37099282035404,94339.5963863082,0.97,0.97,NA,0.03,0.984,34.5660238823144,67.3797127677889,NA,NA,NA,0.0653416790962219,0.141252994241975,1
1000,0.2,0.200000000000002,81.1581892217526,"setting_three","rf","tmle","m1",47.2786941495062,-2.72130585049378,608.122,7.23893327411165,52.4021549470408,0.323734937709975,7.23893327411165,52.4021549470408,NA,NA,NA,8.19107388609292,79864.8916583971,0.936,0.966,NA,0.064,0.99,31.2244843380576,63.3329039609549,NA,NA,NA,0.568285068511963,-0.37592636199948,0.905239831713667
1000,0.2,0.200000000000002,81.1581892217526,"setting_three","super","tmle","m1",50.2418550836568,0.241855083656778,608.122,7.03096182935405,49.4344242458337,0.314434171952839,7.03096182935405,49.4344242458337,NA,NA,NA,7.92176530842925,73714.7192599144,0.972,0.97,NA,0.028,0.998,34.7154803851566,65.7682297821569,NA,NA,NA,20.6251595029831,0.0343985772539741,0.959584715496926
1000,0.2,0.200000000000002,81.1581892217526,"setting_three","unadj","tmle","m1",60.8518772602585,10.8518772602585,608.122,7.00450565040271,49.0630994065234,0.313251015661637,7.00450565040271,49.0630994065234,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.000449838638305664,1.5492709695558,0.966847151922603
1000,0.2,0.200000000000002,81.1581892217526,"setting_three","xgboost","tmle","m1",47.3807075433676,-2.61929245663243,608.122,7.90330396972763,62.4622136379126,0.353446498463099,7.90330396972763,62.4622136379126,NA,NA,NA,8.67521314003251,84548.6209508646,0.948,0.966,NA,0.052,0.992,30.3776022306952,64.3838128560399,NA,NA,NA,1.44002114057541,-0.331417400452421,0.759443432483479
1000,0.2,0.200000000000002,81.1581892217526,"setting_three","super","tmle","m1",50.2418550836568,0.241855083656778,608.122,7.03096182935405,49.4344242458337,0.314434171952839,7.03096182935405,49.4344242458337,NA,NA,NA,7.92176530842925,73714.7192599144,0.972,0.97,NA,0.028,0.998,34.7154803851566,65.7682297821569,NA,NA,NA,20.6251595029831,0.0343985772539741,NA
1000,0.2,0.200000000000002,81.1581892217526,"setting_three","unadj","tmle","m1",60.8518772602585,10.8518772602585,608.122,7.00450565040271,49.0630994065234,0.313251015661637,7.00450565040271,49.0630994065234,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.000449838638305664,1.5492709695558,NA
1000,0.2,0.200000000000002,81.1581892217526,"setting_three","xgboost","tmle","m1",47.3807075433676,-2.61929245663243,608.122,7.90330396972763,62.4622136379126,0.353446498463099,7.90330396972763,62.4622136379126,NA,NA,NA,8.67521314003251,84548.6209508646,0.948,0.966,NA,0.052,0.992,30.3776022306952,64.3838128560399,NA,NA,NA,1.44002114057541,-0.331417400452421,NA
1000,0.4,0.400000000000002,47.3874788491695,"setting_three","bart","tmle","m1",51.3273102293941,1.32731022939414,609.164,4.58022278092503,20.9784407229047,0.20483378980483,4.58022278092503,20.9784407229047,NA,NA,NA,6.35799017177354,865293.382139127,0.954,0.964,NA,0.046,0.99,38.8658784786584,63.7887419801299,NA,NA,NA,5.48683257246017,0.289791630861691,NA
1000,0.4,0.400000000000002,47.3874788491695,"setting_three","correct_model","tmle","m1",50.0275681133052,0.0275681133051574,609.164,4.23343067184051,17.92193525328,0.18932477520536,4.23343067184051,17.92193525328,NA,NA,NA,4.18000223025531,17559.5712372619,0.938,0.94,NA,0.062,1,41.8349142867076,58.2202219399027,NA,NA,NA,0.0643463096618652,0.00651200301649726,NA
1000,0.4,0.400000000000002,47.3874788491695,"setting_three","lm_interact","tmle","m1",49.8400530084634,-0.159946991536555,609.164,5.1032412959807,26.0430717250028,0.22822388886794,5.1032412959807,26.0430717250028,NA,NA,NA,13.3500603287093,23424697.3960656,0.948,0.952,NA,0.052,0.986,23.6744155727562,76.0056904441706,NA,NA,NA,0.0630323343276978,-0.0313422357007749,NA
1000,0.4,0.400000000000002,47.3874788491695,"setting_three","lm","tmle","m1",50.9147868369236,0.914786836923555,609.164,4.51994075880925,20.4298644631451,0.202137895819389,4.51994075880925,20.4298644631451,NA,NA,NA,6.79388396112016,418213.789300295,0.96,0.962,NA,0.04,0.982,37.5990189579837,64.2305547158634,NA,NA,NA,0.06275434923172,0.202389120950459,1
1000,0.4,0.400000000000002,47.3874788491695,"setting_three","rf","tmle","m1",49.0234419185773,-0.976558081422673,609.164,4.77052940283098,22.7579507832749,0.213344560667831,4.77052940283098,22.7579507832749,NA,NA,NA,8.79541475991241,4725504.10522405,0.934,0.926,NA,0.066,0.988,31.784745760057,66.2621380770976,NA,NA,NA,0.532126763820648,-0.204706437998926,NA
1000,0.4,0.400000000000002,47.3874788491695,"setting_three","bart","tmle","m1",51.3273102293941,1.32731022939414,609.164,4.58022278092503,20.9784407229047,0.20483378980483,4.58022278092503,20.9784407229047,NA,NA,NA,6.35799017177354,865293.382139127,0.954,0.964,NA,0.046,0.99,38.8658784786584,63.7887419801299,NA,NA,NA,5.48683257246017,0.289791630861691,0.973850475018353
1000,0.4,0.400000000000002,47.3874788491695,"setting_three","correct_model","tmle","m1",50.0275681133052,0.0275681133051574,609.164,4.23343067184051,17.92193525328,0.18932477520536,4.23343067184051,17.92193525328,NA,NA,NA,4.18000223025531,17559.5712372619,0.938,0.94,NA,0.062,1,41.8349142867076,58.2202219399027,NA,NA,NA,0.0643463096618652,0.00651200301649726,1.13993629451407
1000,0.4,0.400000000000002,47.3874788491695,"setting_three","lm_interact","tmle","m1",49.8400530084634,-0.159946991536555,609.164,5.1032412959807,26.0430717250028,0.22822388886794,5.1032412959807,26.0430717250028,NA,NA,NA,13.3500603287093,23424697.3960656,0.948,0.952,NA,0.052,0.986,23.6744155727562,76.0056904441706,NA,NA,NA,0.0630323343276978,-0.0313422357007749,0.784464470200391
1000,0.4,0.400000000000002,47.3874788491695,"setting_three","lm","tmle","m1",50.9147868369236,0.914786836923555,609.164,4.51994075880925,20.4298644631451,0.202137895819389,4.51994075880925,20.4298644631451,NA,NA,NA,6.79388396112016,418213.789300295,0.96,0.962,NA,0.04,0.982,37.5990189579837,64.2305547158634,NA,NA,NA,0.06275434923172,0.202389120950459,1
1000,0.4,0.400000000000002,47.3874788491695,"setting_three","rf","tmle","m1",49.0234419185773,-0.976558081422673,609.164,4.77052940283098,22.7579507832749,0.213344560667831,4.77052940283098,22.7579507832749,NA,NA,NA,8.79541475991241,4725504.10522405,0.934,0.926,NA,0.066,0.988,31.784745760057,66.2621380770976,NA,NA,NA,0.532126763820648,-0.204706437998926,0.897702286893039
1000,0.4,0.400000000000002,47.3874788491695,"setting_three","super","tmle","m1",50.2048292717073,0.204829271707321,609.164,4.50973413463029,20.3377019650496,0.20168144170969,4.50973413463029,20.3377019650496,NA,NA,NA,7.11266635626439,1617510.5029776,0.952,0.95,NA,0.048,0.986,36.2642593793794,64.1453991640353,NA,NA,NA,20.6216665115356,0.0454193674377466,1.00453160825416
1000,0.4,0.400000000000002,47.3874788491695,"setting_three","unadj","tmle","m1",60.5470277770679,10.5470277770679,609.164,5.16572998374156,26.6847662649265,0.2310184679411,5.16572998374156,26.6847662649265,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.00139555168151855,2.04173036729819,0.765600277713408
1000,0.4,0.400000000000002,47.3874788491695,"setting_three","xgboost","tmle","m1",48.8953825483122,-1.10461745168783,609.164,5.32637830841657,28.3703058843705,0.238202879429996,5.32637830841657,28.3703058843705,NA,NA,NA,11.5302941447289,13834279.6168902,0.934,0.932,NA,0.066,0.988,26.2964212934904,71.4943438031339,NA,NA,NA,1.46759407520294,-0.207386217749939,0.720114352887543
1000,0.4,0.400000000000002,47.3874788491695,"setting_three","super","tmle","m1",50.2048292717073,0.204829271707321,609.164,4.50973413463029,20.3377019650496,0.20168144170969,4.50973413463029,20.3377019650496,NA,NA,NA,7.11266635626439,1617510.5029776,0.952,0.95,NA,0.048,0.986,36.2642593793794,64.1453991640353,NA,NA,NA,20.6216665115356,0.0454193674377466,NA
1000,0.4,0.400000000000002,47.3874788491695,"setting_three","unadj","tmle","m1",60.5470277770679,10.5470277770679,609.164,5.16572998374156,26.6847662649265,0.2310184679411,5.16572998374156,26.6847662649265,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.00139555168151855,2.04173036729819,NA
