"Estimator","mean_estimate","mean_bias","sd_estimate","var_estimate","n","target_r2","achieved_r2_raw","ss","relative_efficiency"
"unadj",50.1359700955496,0.135970095549573,5.6535954039696,31.9631409917861,1000,0.2,0.200000000000003,81.2560617244581,0.855320996334623
"lm",50.1273169390462,0.127316939046197,5.22864663168956,27.3387455990785,1000,0.2,0.200000000000003,81.2560617244581,1
"lm_interact",50.1261035426667,0.126103542666713,5.22738781911558,27.3255834114379,1000,0.2,0.200000000000003,81.2560617244581,1.0004816800228
"rf",45.9229733107197,-4.07702668928031,5.70672930411146,32.5667593504045,1000,0.2,0.200000000000003,81.2560617244581,0.839467793062406
"bart",49.9399526803247,-0.0600473196752551,5.26469698341529,27.717034327182,1000,0.2,0.200000000000003,81.2560617244581,0.986351760306025
"super",49.5480508803676,-0.451949119632403,5.32425999977935,28.3477445452504,1000,0.2,0.200000000000003,81.2560617244581,0.964406376508675
"xgboost",48.309157309778,-1.69084269022195,5.7214870860289,32.7354144755954,1000,0.2,0.200000000000003,81.2560617244581,0.835142796785415
"correct_model",50.098292254416,0.0982922544160114,5.15507124112315,26.574759501055,1000,0.2,0.200000000000003,81.2560617244581,1.02874856112971
"unadj",50.4558995540968,0.455899554096838,3.95781262673051,15.6642807883075,1000,0.4,0.400000000000003,47.6772522158372,0.7160715133448
"lm",50.4198469716462,0.419846971646196,3.34914097188237,11.2167452495412,1000,0.4,0.400000000000003,47.6772522158372,1
"lm_interact",50.419385169909,0.41938516990898,3.35025113077138,11.2241826392349,1000,0.4,0.400000000000003,47.6772522158372,0.999337378058362
"rf",47.8084455403854,-2.19155445961458,3.38958196518991,11.4892658987407,1000,0.4,0.400000000000003,47.6772522158372,0.976280412377839
"bart",50.323417594361,0.323417594360972,3.24094963386597,10.5037545292559,1000,0.4,0.400000000000003,47.6772522158372,1.06787960612554
"super",50.0402134597922,0.0402134597922062,3.2649905925072,10.6601635691605,1000,0.4,0.400000000000003,47.6772522158372,1.05221136399735
"xgboost",49.5727851701395,-0.427214829860508,3.4572706819856,11.9527205685172,1000,0.4,0.400000000000003,47.6772522158372,0.938426125269381
"correct_model",50.3968198571916,0.396819857191609,3.13902008919269,9.85344712035526,1000,0.4,0.400000000000003,47.6772522158372,1.13835748165428
"unadj",50.0855389014985,0.0855389014984592,3.02525217701596,9.15215073453978,1000,0.6,0.600000000000008,29.0587736588985,0.510139297501663
"lm",50.0813843568128,0.0813843568128151,2.16075721596561,4.66887174634746,1000,0.6,0.600000000000008,29.0587736588985,1
"lm_interact",50.0815168378511,0.0815168378511197,2.16319667470134,4.67941985343893,1000,0.6,0.600000000000008,29.0587736588985,0.997745851532488
"rf",48.0457361689698,-1.95426383103023,2.0615851672347,4.25013340176213,1000,0.6,0.600000000000008,29.0587736588985,1.09852357679213
"bart",49.9598786550256,-0.0401213449744281,1.98585167161137,3.94360686164165,1000,0.6,0.600000000000008,29.0587736588985,1.18390902292017
"super",49.7492844297796,-0.2507155702204,2.01051018209194,4.04215119229535,1000,0.6,0.600000000000008,29.0587736588985,1.15504629199588
"xgboost",49.5080809407444,-0.4919190592556,2.1124525829471,4.46245591519989,1000,0.6,0.600000000000008,29.0587736588985,1.04625610539803
"correct_model",50.0353271784582,0.0353271784582268,1.8603962304915,3.46107413442699,1000,0.6,0.600000000000008,29.0587736588985,1.34896612005695
"unadj",49.9929391998288,-0.00706080017118904,2.40332058242022,5.77594982188467,1000,0.8,0.800000000000001,11.8770717188204,0.284866573494266
"lm",50.0543884935806,0.0543884935805725,1.2827217291506,1.6453750344351,1000,0.8,0.800000000000001,11.8770717188204,1
"lm_interact",50.0552395486795,0.0552395486795343,1.28633263896034,1.65465165805468,1000,0.8,0.800000000000001,11.8770717188204,0.994393609328938
"rf",48.3518908427295,-1.64810915727048,1.00603000259803,1.0120963661274,1000,0.8,0.800000000000001,11.8770717188204,1.62570985283825
"bart",50.0135780166784,0.013578016678436,0.874695013363493,0.765091366402961,1000,0.8,0.800000000000001,11.8770717188204,2.150560190178
"super",49.8804006398899,-0.119599360110074,0.875953467767087,0.767294477693185,1000,0.8,0.800000000000001,11.8770717188204,2.14438534652537
"xgboost",49.742436692543,-0.25756330745697,0.916331652781075,0.839663697888497,1000,0.8,0.800000000000001,11.8770717188204,1.95956433340244
"correct_model",50.0259164242516,0.0259164242516386,0.760163985368789,0.57784928465176,1000,0.8,0.800000000000001,11.8770717188204,2.84741208155459
"unadj",49.9920449160003,-0.00795508399972997,1.75895626112965,3.09392712856721,10000,0.2,0.199999999999997,79.9620246715776,0.842058001926815
"lm",49.999420508907,-0.000579491092972537,1.61408367069011,2.60526609598847,10000,0.2,0.199999999999997,79.9620246715776,1
"lm_interact",49.9994074473847,-0.000592552615252694,1.61410518815599,2.60533555843209,10000,0.2,0.199999999999997,79.9620246715776,0.999973338388833
"rf",49.4632821354447,-0.536717864555267,1.62147131676304,2.62916923108526,10000,0.2,0.199999999999997,79.9620246715776,0.99090848363271
"bart",49.9924416516634,-0.00755834833663873,1.5977797337785,2.55290007767331,10000,0.2,0.199999999999997,79.9620246715776,1.02051236504442
"super",49.9488400666192,-0.0511599333808292,1.60106987331387,2.56342473923329,10000,0.2,0.199999999999997,79.9620246715776,1.01632244400032
"xgboost",49.6145169540813,-0.385483045918736,1.65724283002007,2.74645379765294,10000,0.2,0.199999999999997,79.9620246715776,0.948592726451425
"correct_model",49.9969781772105,-0.00302182278950347,1.5822018959006,2.50336283939144,10000,0.2,0.199999999999997,79.9620246715776,1.04070654680718
