"Estimator","mean_estimate","mean_bias","sd_estimate","var_estimate","n","target_r2","achieved_r2_raw","ss","relative_efficiency"
"unadj",50.1359700955496,0.135970095549573,5.6535954039696,31.9631409917861,1000,0.2,0.200000000000003,81.2560617244581,0.855858191748227
"lm",50.1500838478957,0.150083847895665,5.23028833352653,27.3559160518237,1000,0.2,0.200000000000003,81.2560617244581,1
"lm_interact",50.1324107708294,0.132410770829435,5.23424292856806,27.3972990352648,1000,0.2,0.200000000000003,81.2560617244581,0.998489523241404
"rf",50.1466416778587,0.146641677858673,5.3419743710575,28.5366901810352,1000,0.2,0.200000000000003,81.2560617244581,0.958622597024367
"bart",50.1185991158928,0.118599115892813,5.29797681014422,28.0685582808259,1000,0.2,0.200000000000003,81.2560617244581,0.974610657880173
"super",49.4363100230784,-0.563689976921556,5.42815451701401,29.4648614605797,1000,0.2,0.200000000000003,81.2560617244581,0.928425069584072
"xgboost",50.1289385764705,0.128938576470476,5.48778084792436,30.1157386348454,1000,0.2,0.200000000000003,81.2560617244581,0.908359458936582
"correct_model",50.103150884676,0.103150884676016,5.16531281556469,26.6804564826368,1000,0.2,0.200000000000003,81.2560617244581,1.02531664215065
"unadj",50.4558995540968,0.455899554096838,3.95781262673051,15.6642807883075,1000,0.4,0.400000000000003,47.6772522158372,0.71435362401235
"lm",50.4216947644532,0.421694764453219,3.34512118594745,11.1898357486745,1000,0.4,0.400000000000003,47.6772522158372,1
"lm_interact",50.4199556977067,0.419955697706696,3.36079986960266,11.2949757635213,1000,0.4,0.400000000000003,47.6772522158372,0.990691435108133
"rf",50.4484309266762,0.448430926676215,3.29805749904545,10.8771832670099,1000,0.4,0.400000000000003,47.6772522158372,1.02874388285916
"bart",50.449060405011,0.449060405010954,3.26611382705217,10.6674995312614,1000,0.4,0.400000000000003,47.6772522158372,1.04896519712819
"super",49.8481254720075,-0.151874527992457,3.3959341194979,11.53236854397,1000,0.4,0.400000000000003,47.6772522158372,0.970298140057738
"xgboost",50.5021693941958,0.50216939419583,3.46309441924466,11.9930229566035,1000,0.4,0.400000000000003,47.6772522158372,0.933028794255181
"correct_model",50.3997325856893,0.399732585689316,3.14099436100694,9.86584557587741,1000,0.4,0.400000000000003,47.6772522158372,1.13419936108004
"unadj",50.0855389014985,0.0855389014984592,3.02525217701596,9.15215073453978,1000,0.6,0.600000000000008,29.0587736588985,0.512293351031883
"lm",50.0837614268957,0.083761426895725,2.16531428872261,4.68858596894629,1000,0.6,0.600000000000008,29.0587736588985,1
"lm_interact",50.0822210105081,0.082221010508138,2.16358678693535,4.68110778460124,1000,0.6,0.600000000000008,29.0587736588985,1.00159752449402
"rf",50.0661873793545,0.0661873793544563,2.03265579548637,4.13168958292433,1000,0.6,0.600000000000008,29.0587736588985,1.13478659876181
"bart",50.0479625121668,0.0479625121668461,2.01029605305747,4.04129022093845,1000,0.6,0.600000000000008,29.0587736588985,1.16017056747227
"super",49.4648650136544,-0.535134986345616,2.10449073532933,4.42888125508699,1000,0.6,0.600000000000008,29.0587736588985,1.058638897478
"xgboost",50.1022122639498,0.102212263949761,2.10385867203327,4.42622131188959,1000,0.6,0.600000000000008,29.0587736588985,1.05927508783891
"correct_model",50.0347633050601,0.0347633050601145,1.86454623040801,3.47653264532871,1000,0.6,0.600000000000008,29.0587736588985,1.34863855665103
"unadj",49.9929391998288,-0.00706080017118904,2.40332058242022,5.77594982188467,1000,0.8,0.800000000000001,11.8770717188204,0.2879405338728
"lm",50.0581828230453,0.0581828230453018,1.28962400541242,1.66313007533598,1000,0.8,0.800000000000001,11.8770717188204,1
"lm_interact",50.0569932445771,0.0569932445771378,1.28233902708725,1.64439338039107,1000,0.8,0.800000000000001,11.8770717188204,1.01139428993593
