"method","status","timestamp","error"
"unadj","done","2026-05-20 19:07:00.314561",""
"lm","done","2026-05-20 19:08:34.141241",""
"lm_interact","done","2026-05-20 19:10:10.156916",""
"rf","done","2026-05-20 19:49:31.728876",""
"bart","done","2026-05-21 01:58:30.19206",""
"xgboost","done","2026-05-21 04:22:47.983114",""
"super","done","2026-05-21 15:38:42.336358",""
"correct_model","done","2026-05-21 15:40:16.800566",""
