"replicate","Estimator","Procedure","ModelSpec","n_obs","estimate","bias","eif_var","eif_se","bootstrap_se","bootstrap_bias","bc_estimate","ci_lower","ci_upper","bc_ci_lower","bc_ci_upper","covered_true_95","covered_true_95_bc","reject_h0_effect","reject_h0_null","bootstrap_time_sec","se_method","replicate_time_sec","covered_mc_mean_95"
463,"bart","two_stage","m1",573,49.2995660667037,-0.700433933296338,NA,NA,7.92761550894136,-0.756044038310947,50.0556101050146,33.7617251858974,64.8374069475099,34.5177692242084,65.5934509858208,1,1,0,1,417.893710374832,"bootstrap",421.94700217247,NA
464,"bart","two_stage","m1",642,54.525245339224,4.52524533922395,NA,NA,6.62774047621712,-0.366094744797842,54.8913400840218,41.5351127069601,67.5153779714878,41.9012074517579,67.8814727162857,1,1,0,1,430.688651561737,"bootstrap",434.934071063995,NA
465,"bart","two_stage","m1",596,59.3985340865553,9.39853408655533,NA,NA,7.5798093282014,-2.42756199245001,61.8260960790053,44.5423807935998,74.2546873795108,46.9699427860499,76.6822493719608,1,1,0,1,420.731851577759,"bootstrap",424.849700689316,NA
466,"bart","two_stage","m1",583,51.3972727739495,1.39727277394947,NA,NA,6.82622708764146,-2.14884839569992,53.5461211696494,38.0181135318805,64.7764320160185,40.1669619275804,66.9252804117184,1,1,0,1,427.176513195038,"bootstrap",431.362334251404,NA
467,"bart","two_stage","m1",597,52.4691511219725,2.46915112197254,NA,NA,7.69623586358974,-3.7418617730989,56.2110128950714,37.3848060128111,67.5534962311339,41.12666778591,71.2953580042329,1,1,0,1,425.310696601868,"bootstrap",429.483431577682,NA
468,"bart","two_stage","m1",627,45.6391510156384,-4.36084898436161,NA,NA,7.79599285284394,-2.38739330262258,48.026544318261,30.3592858003326,60.9190162309442,32.7466791029552,63.3064095335668,1,1,0,1,424.413382530212,"bootstrap",428.550358772278,NA
469,"bart","two_stage","m1",608,57.1283626445691,7.12836264456912,NA,NA,7.1307401573201,-1.55829365205715,58.6866562966263,43.1523687531082,71.10435653603,44.7106624051654,72.6626501880871,1,1,0,1,427.626497507095,"bootstrap",431.979660511017,NA
470,"bart","two_stage","m1",621,63.9579808555012,13.9579808555012,NA,NA,7.8048458564516,-5.63019780459167,69.5881786600929,48.6607640719694,79.255197639033,54.2909618765611,84.8853954436247,1,0,0,1,430.792736530304,"bootstrap",435.028932332993,NA
471,"bart","two_stage","m1",607,51.6841888736817,1.68418887368173,NA,NA,6.99193122082055,0.33013722250017,51.3540516511816,37.9802554984923,65.3881222488712,37.6501182759921,65.057985026371,1,1,0,1,426.165711164474,"bootstrap",430.477524757385,NA
472,"bart","two_stage","m1",585,55.7723616722262,5.77236167222616,NA,NA,5.87410373910453,-2.3978406596652,58.1702023318914,44.2593299021292,67.2853934423231,46.6571705617944,69.6832341019883,1,1,0,1,418.435098409653,"bootstrap",422.501215219498,NA
473,"bart","two_stage","m1",637,52.9844620959922,2.98446209599217,NA,NA,6.65147567917535,-1.18250358672442,54.1669656827166,39.9478093207644,66.02111487122,41.1303129074888,67.2036184579444,1,1,0,1,431.708282470703,"bootstrap",435.942253351212,NA
474,"bart","two_stage","m1",621,53.1216638465251,3.12166384652505,NA,NA,6.45767905849642,0.427830039308667,52.6938338072164,40.4648454681536,65.7784822248965,40.0370154288449,65.3506521855879,1,1,0,1,423.620741844177,"bootstrap",427.797399997711,NA
475,"bart","two_stage","m1",617,53.3718063066744,3.37180630667437,NA,NA,5.25077847526388,-3.70830235766662,57.080108664341,43.080469604359,63.6631430089897,46.7887719620256,67.3714453666563,1,1,0,1,433.650501966476,"bootstrap",437.905263185501,NA
