"replicate","Estimator","Procedure","ModelSpec","n_obs","estimate","bias","eif_var","eif_se","bootstrap_se","bootstrap_bias","bc_estimate","ci_lower","ci_upper","bc_ci_lower","bc_ci_upper","covered_true_95","covered_true_95_bc","reject_h0_effect","reject_h0_null","bootstrap_time_sec","replicate_time_sec","covered_mc_mean_95"
1,"unadj","tmle","m1",120,88.0052518336966,38.0052518336966,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.000938892364501953,NA
2,"unadj","tmle","m1",114,104.210919099264,54.2109190992637,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.000948429107666016,NA
3,"unadj","tmle","m1",123,89.1537606500986,39.1537606500986,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.000942707061767578,NA
4,"unadj","tmle","m1",128,72.3267460841664,22.3267460841664,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.000944137573242188,NA
5,"unadj","tmle","m1",122,58.4568277108603,8.4568277108603,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.000920772552490234,NA
6,"unadj","tmle","m1",118,63.3001984197485,13.3001984197485,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.000943660736083984,NA
7,"unadj","tmle","m1",119,27.6081221713303,-22.3918778286697,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.000949382781982422,NA
8,"unadj","tmle","m1",127,41.2597287825003,-8.74027121749972,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.000904560089111328,NA
9,"unadj","tmle","m1",131,57.4440748126083,7.44407481260833,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.000916719436645508,NA
10,"unadj","tmle","m1",118,50.6696286080923,0.669628608092324,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.000489950180053711,NA
