"n","target_r2","achieved_r2_raw","ss","setting","Estimator","Procedure","ModelSpec","mean_estimate","mean_bias","mean_n_obs","mc_sd_estimate","mc_var_estimate","mc_se_estimate","sd_estimate","var_estimate","mean_bootstrap_se","sd_bootstrap_se","mean_bootstrap_bias","mean_eif_se","mean_eif_var","coverage_95","coverage_95_mc_mean","coverage_95_bc","reject_h0_effect_prob","reject_h0_null_prob","mean_ci_lower","mean_ci_upper","mean_bc_ci_lower","mean_bc_ci_upper","mean_bootstrap_time_sec","mean_replicate_time_sec","std_bias","relative_efficiency"
200,0.2,0.200000000000001,87.5334286060377,"setting_three","bart","tmle","m1",54.1986172009113,4.19861720091126,121.486,35.0717773705631,1230.02956793034,1.56845756584636,35.0717773705631,1230.02956793034,NA,NA,NA,125.48903565751,286449290.392984,0.982,0.978,NA,0.018,0.59,-191.75537314247,300.152607544293,NA,NA,NA,1.51779247808456,0.119714982122215,0.413852969295385
200,0.2,0.200000000000001,87.5334286060377,"setting_three","correct_model","tmle","m1",52.2485351255705,2.24853512557051,121.486,19.2361532021026,370.029590014762,0.860266923710033,19.2361532021026,370.029590014762,NA,NA,NA,22.8827486258669,122249.684694108,0.966,0.964,NA,0.034,0.69,7.39917195158808,97.097898299553,NA,NA,NA,0.0657118768692017,0.116891100936165,1.3757045456521
200,0.2,0.200000000000001,87.5334286060377,"setting_three","lm_interact","tmle","m1",53.6812638983719,3.68126389837185,121.486,67.9416278255998,4616.06479159232,3.03844196640065,67.9416278255998,4616.06479159232,NA,NA,NA,74.7355871284957,43575532.4795045,0.974,0.97,NA,0.026,0.476,-92.7977952369349,200.160323033679,NA,NA,NA,0.0538335566520691,0.0541827450443391,0.110278215751277
200,0.2,0.200000000000001,87.5334286060377,"setting_three","lm","tmle","m1",52.3810373871978,2.38103738719781,121.486,22.5621672055033,509.051389009091,1.00901079182444,22.5621672055033,509.051389009091,NA,NA,NA,111.302818677939,127564198.697985,0.98,0.98,NA,0.02,0.56,-165.768478599354,270.53055337375,NA,NA,NA,0.0636879000663757,0.105532299513188,1
200,0.2,0.200000000000001,87.5334286060377,"setting_three","rf","tmle","m1",45.0203812177686,-4.9796187822314,121.486,92.0264458607742,8468.86673776601,4.11554777344791,92.0264458607742,8468.86673776601,NA,NA,NA,219.661993135469,2209430260.97052,0.978,0.992,NA,0.022,0.346,-385.509214100036,475.549976535573,NA,NA,NA,0.148992874145508,-0.0541107367089348,0.0601085605396328
200,0.2,0.200000000000001,87.5334286060377,"setting_three","super","tmle","m1",49.2685619727304,-0.731438027269568,121.486,41.2301008662648,1699.92121744237,1.84386616512282,41.2301008662648,1699.92121744237,NA,NA,NA,597.935591394061,17172042278.1696,0.974,0.974,NA,0.026,0.504,-1122.66366223429,1221.20078617975,NA,NA,NA,13.1261080579758,-0.0177403889852727,0.299455871122656
200,0.2,0.200000000000001,87.5334286060377,"setting_three","unadj","tmle","m1",62.8447753320013,12.8447753320013,121.486,18.3907722863963,338.22050529008,0.822460339822025,18.3907722863963,338.22050529008,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.000356709957122803,0.698435885778578,1.50508730560998
200,0.2,0.200000000000001,87.5334286060377,"setting_three","xgboost","tmle","m1",47.7620930841694,-2.23790691583055,121.486,45.2730002460369,2049.64455127766,2.02467012191006,45.2730002460369,2049.64455127766,NA,NA,NA,206.875536121911,786671039.236792,0.982,0.988,NA,0.018,0.33,-357.70650699719,453.230693165529,NA,NA,NA,1.21867841386795,-0.0494313808156873,0.248360813923453
