"file","status","timestamp","error"
"setting_three_n1000_r2_0p20.RData","done","2026-05-17 22:05:09.673664",NA
"setting_three_n1000_r2_0p40.RData","done","2026-05-17 22:30:39.562179",NA
"setting_three_n1000_r2_0p60.RData","done","2026-05-17 22:56:13.20907",NA
"setting_three_n1000_r2_0p80.RData","done","2026-05-18 00:18:49.775903",NA
"setting_three_n200_r2_0p20.RData","done","2026-05-18 08:18:47.212205",NA
"setting_three_n200_r2_0p40.RData","done","2026-05-18 08:36:58.561558",NA
"setting_three_n200_r2_0p60.RData","done","2026-05-18 08:55:11.938888",NA
"setting_three_n200_r2_0p80.RData","done","2026-05-18 09:13:18.442955",NA
"setting_three_n2000_r2_0p20.RData","done","2026-05-18 09:44:38.207409",NA
"setting_three_n2000_r2_0p40.RData","done","2026-05-18 10:51:14.834458",NA
"setting_three_n2000_r2_0p60.RData","done","2026-05-18 11:27:27.894235",NA
"setting_three_n2000_r2_0p80.RData","done","2026-05-18 15:13:45.524868",NA
"setting_three_n500_r2_0p20.RData","done","2026-05-18 17:36:59.063524",NA
"setting_three_n500_r2_0p40.RData","done","2026-05-18 18:04:13.209414",NA
"setting_three_n500_r2_0p60.RData","done","2026-05-18 18:31:31.78845",NA
"setting_three_n500_r2_0p80.RData","done","2026-05-18 18:58:55.713771",NA
"setting_three_n5000_r2_0p20.RData","done","2026-05-18 20:12:16.22488",NA
"setting_three_n5000_r2_0p40.RData","done","2026-05-18 21:08:15.135616",NA
"setting_three_n5000_r2_0p60.RData","done","2026-05-18 23:42:07.300893",NA
"setting_three_n5000_r2_0p80.RData","done","2026-05-19 00:43:57.54336",""
