"n","target_r2","achieved_r2_raw","ss","setting","Estimator","Procedure","ModelSpec","mean_estimate","mean_bias","mean_n_obs","mc_sd_estimate","mc_var_estimate","mc_se_estimate","sd_estimate","var_estimate","mean_bootstrap_se","sd_bootstrap_se","mean_bootstrap_bias","mean_eif_se","mean_eif_var","coverage_95","coverage_95_mc_mean","coverage_95_bc","reject_h0_effect_prob","reject_h0_null_prob","mean_ci_lower","mean_ci_upper","mean_bc_ci_lower","mean_bc_ci_upper","mean_bootstrap_time_sec","mean_replicate_time_sec","std_bias"
1000,0.2,0.199999999999999,76.8812679205191,"setting_one","bart","single_stage","m1",50.5990646401564,0.599064640156378,512,NA,NA,NA,NA,NA,NA,NA,-6.44553242524425,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2.30931305885315,4.8629047870636,NA
1000,0.2,0.199999999999999,76.8812679205191,"setting_one","correct_model","single_stage","m1",50.8081819209692,0.808181920969176,512,NA,NA,NA,NA,NA,NA,NA,-4.32985138201302,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.00329399108886719,0.00662708282470703,NA
1000,0.2,0.199999999999999,76.8812679205191,"setting_one","lm_interact","single_stage","m1",55.1520246065657,5.15202460656568,512,NA,NA,NA,NA,NA,NA,NA,-10.690450996403,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.0036170482635498,0.00722002983093262,NA
1000,0.2,0.199999999999999,76.8812679205191,"setting_one","lm","single_stage","m1",53.8735380855708,3.87353808557079,512,NA,NA,NA,NA,NA,NA,NA,-6.24830518701489,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.00329995155334473,0.0217409133911133,NA
1000,0.2,0.199999999999999,76.8812679205191,"setting_one","rf","single_stage","m1",39.0052521224428,-10.9947478775572,512,NA,NA,NA,NA,NA,NA,NA,-10.7443944946406,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.174368143081665,0.377474069595337,NA
1000,0.2,0.199999999999999,76.8812679205191,"setting_one","super","single_stage","m1",51.3623623149381,1.36236231493811,512,NA,NA,NA,NA,NA,NA,NA,-21.5290464794168,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3.10148096084595,6.26402401924133,NA
1000,0.2,0.199999999999999,76.8812679205191,"setting_one","unadj","single_stage","m1",53.8722625559338,3.87226255593379,512,NA,NA,NA,NA,NA,NA,NA,-10.815757256963,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.000475883483886719,0.000689029693603516,NA
1000,0.2,0.199999999999999,76.8812679205191,"setting_one","xgboost","single_stage","m1",47.8508552093506,-2.14914479064942,512,NA,NA,NA,NA,NA,NA,NA,-14.0154709990025,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.439371109008789,0.909364938735962,NA
